center,filter
DAMM,SMAL
DAMM,SIAL
DAMM,SNAL
DAMM,ISMN
DAMM,ISIN
DAMM,ISNN
DAMM,ISAN
DAMM,SAAL
DAMM,U/AL
DAMM,IU
DAMM,IOB//
DAMM,SMVA//
DAMM,SIVA//
DAMM,SNVA//
DAMM,ISSN//
DTTA,SMTS
DTTA,SITS
DTTA,SNTS
DTTA,ISM
DTTA,ISI
DTTA,ISN
DTTA,ISA
DTTA,SATS
DTTA,U/TS
DTTA,IU
DTTA,IOB//
DTTA,SMVA//
DTTA,SIVA//
DTTA,SNVA//
DTTA,ISS//
HLMC,SMLY
HLMC,SILY
HLMC,SNLY
HLMC,ISM
HLMC,ISI
HLMC,ISN
HLMC,SALY
HLMC,U/LY
HLMC,IU/D
HLMC,IOB//
HLMC,SMVA//
HLMC,SIVA//
HLMC,SNVA//
HLMC,ISS//
GMMC,SMMC
GMMC,SIMC
GMMC,SNMC
GMMC,ISM
GMMC,ISI
GMMC,ISN
GMMC,SAMC
GMMC,U/MC
GMMC,IU
GMMC,IOB//
GMMC,SMVA//
GMMC,SIVA//
GMMC,SNVA//
GMMC,ISS//
LPMG,SMPO
LPMG,SIPO
LPMG,SNPO
LPMG,ISM
LPMG,ISI
LPMG,ISN
LPMG,SAPO
LPMG,U/PO
LPMG,IU/A
LPMG,IOB//
LPMG,SMV//
LPMG,SIV//
LPMG,SNVA//
LPMG,ISSA//
LEMM,SMSP
LEMM,SISP
LEMM,SNSP
LEMM,ISM
LEMM,ISI
LEMM,ISN
LEMM,SASP
LEMM,U/SP
LEMM,IU/A
LEMM,IOB//
LEMM,SMV//
LEMM,SIV//
LEMM,SNVA//
LEMM,ISS//
LFPW,SMFR
LFPW,SIFR
LFPW,SNFR
LFPW,ISM
LFPW,ISI
LFPW,ISN
LFPW,SAFR
LFPW,U/FR
LFPW,IU
LFPW,IOB//
LFPW,SMVA//
LFPW,SIVA//
LFPW,SNVA//
LFPW,ISSA//
LFPW,ISSD//
LIIB,SMIY
LIIB,SIIY
LIIB,SNIY
LIIB,ISM
LIIB,ISI
LIIB,ISN
LIIB,SAIY
LIIB,U/IY
LIIB,IU/D
LIIB,IOB//
LIIB,SMV//
LIIB,SIV//
LIIB,SNV//
LIIB,ISS//
LGAT,SMGR
LGAT,SIGR
LGAT,SNGR
LGAT,ISM
LGAT,ISI
LGAT,ISN
LGAT,SAGR
LGAT,U/GR
LGAT,IU/D
LGAT,IOB//
LGAT,SMV//
LGAT,SIV//
LGAT,SNV//
LGAT,ISS//
LATI,SMAB
LATI,SIAB
LATI,SNAB
LATI,ISM
LATI,ISI
LATI,ISN
LATI,SAAB
LATI,U/AB
LATI,IU/D
LATI,IOB//
LATI,SMV//
LATI,SIV//
LATI,SNV//
LATI,ISS//
LYPG,SIMK
LYPG,SIMK
LYPG,SNMK
LYPG,ISM
LYPG,ISI
LYPG,ISN
LYPG,SAMK
LYPG,U/MK
LYPG,IU/D
LYPG,IOB//
LYPG,SMV//
LYPG,SIV//
LYPG,SNV//
LYPG,ISS//
LQSM,SMQB
LQSM,SIQB
LQSM,SNQB
LQSM,ISM
LQSM,ISI
LQSM,ISN
LQSM,SAQB
LQSM,U/QB
LQSM,IU/D
LQSM,IOB//
LQSM,SMV//
LQSM,SIV//
LQSM,SNV//
LQSM,ISS//
LDZM,SMRH
LDZM,SIRH
LDZM,SNRH
LDZM,ISM
LDZM,ISI
LDZM,ISN
LDZM,SARH
LDZM,U/RH
LDZM,IU/D
LDZM,IOB//
LDZM,SMV//
LDZM,SIV//
LDZM,SNV//
LDZM,ISS//
LJLM,SMLJ
LJLM,SILJ
LJLM,SNLJ
LJLM,ISM
LJLM,ISI
LJLM,ISN
LJLM,SALJ
LJLM,U/LJ
LJLM,IU/D
LJLM,IOB//
LJLM,SMV//
LJLM,SIV//
LJLM,SNV//
LJLM,ISS//
LOWM,SMOS
LOWM,SIOS
LOWM,SNOS
LOWM,ISM
LOWM,ISI
LOWM,ISN
LOWM,SAOS
LOWM,U/OS
LOWM,IU/D
LOWM,IOB//
LOWM,SMV//
LOWM,SIV//
LOWM,SNV//
LOWM,ISS//
LYBM,SMYG
LYBM,SIYG
LYBM,SNYG
LYBM,ISM
LYBM,ISI
LYBM,ISN
LYBM,SAYG
LYBM,U/YG
LYBM,IU/D
LYBM,IOB//
LYBM,SMV//
LYBM,SIV//
LYBM,SNV//
LYBM,ISS//
YRBK,SMRO
YRBK,SIRO
YRBK,SNRO
YRBK,ISM
YRBK,ISI
YRBK,ISN
YRBK,SARO
YRBK,U/RO
YRBK,IU/D
YRBK,IOB//
YRBK,SMV//
YRBK,SIV//
YRBK,SNV//
YRBK,ISS//
LHBM,SMHU
LHBM,SIHU
LHBM,SNHU
LHBM,ISM
LHBM,ISI
LHBM,ISN
LHBM,SAHU
LHBM,U/HU
LHBM,IU/D
LHBM,IOB//
LHBM,SMV//
LHBM,SIV//
LHBM,SNV//
LHBM,ISS//
MJSK,SMHU
MJSK,SIHU
MJSK,SNHU
MJSK,ISM
MJSK,ISI
MJSK,ISN
MJSK,SAHU
MJSK,U/HU
MJSK,IU/D
MJSK,IOB//
MJSK,SMV//
MJSK,SIV//
MJSK,SNV//
MJSK,ISS//
LMMM,SMML
LMMM,SIML
LMMM,SNML
LMMM,ISMD
LMMM,ISID
LMMM,ISND
LMMM,SAML
LMMM,U/ML
LMMM,IU/D
LMMM,IOB//
LMMM,SMV//
LMMM,SIV//
LMMM,SNV//
LMMM,ISS//
EGRR,ISX
EHDB,ISX

